frame,cond,free,tau0,iso,pas,enf,Pr
-1,1.0,org,1,0.9806944444444444,0.05379166666666666,0.0,6.500002639791462e-05
0,1.0,"[1, 2]",0,0.16,0.095,0.44,0.111
0,1.0,"[0, 2]",0,1.0,1.0,0.4,0.002
0,1.0,"[0, 1]",0,0.385,0.06,0.327,0.055
1,1.0,"[1, 2]",0,0.939,1.0,0.564,0.002
1,1.0,"[0, 2]",0,0.354,0.07,0.238,0.034
1,1.0,"[0, 1]",0,0.115,0.077,0.611,0.186
2,1.0,"[1, 2]",0,0.327,0.055,0.245,0.064
2,1.0,"[0, 2]",0,0.355,0.285,0.328,0.056
2,1.0,"[0, 1]",0,0.391,0.54,0.315,0.048
3,1.0,"[1, 2]",0,0.38,1.0,0.584,0.047
3,1.0,"[0, 2]",0,0.336,0.11,0.519,0.063
3,1.0,"[0, 1]",0,0.177,0.082,0.203,0.051
4,1.0,"[1, 2]",0,0.679,0.196,0.264,0.033
4,1.0,"[0, 2]",0,0.315,0.999,0.373,0.068
4,1.0,"[0, 1]",0,0.427,0.057,0.427,0.038
5,1.0,"[1, 2]",0,0.167,0.159,0.4,0.095
5,1.0,"[0, 2]",0,0.999,0.807,0.752,0.001
5,1.0,"[0, 1]",0,0.539,0.422,0.255,0.042
6,1.0,"[1, 2]",0,0.875,0.997,0.347,0.001
6,1.0,"[0, 2]",0,0.253,0.136,0.44,0.094
6,1.0,"[0, 1]",0,0.472,0.054,0.198,0.055
7,1.0,"[1, 2]",0,0.131,0.054,0.468,0.129
7,1.0,"[0, 2]",0,0.515,0.066,0.398,0.026
7,1.0,"[0, 1]",0,0.416,1.0,0.549,0.059
8,1.0,"[1, 2]",0,0.284,0.057,0.362,0.065
8,1.0,"[0, 2]",0,0.452,1.0,0.219,0.006
8,1.0,"[0, 1]",0,0.423,0.616,0.215,0.009
9,1.9,"[1, 2]",0,0.122,0.111,0.356,0.187
9,1.9,"[0, 2]",0,0.426,0.054,0.224,0.026
9,1.9,"[0, 1]",0,0.599,0.989,0.665,0.082
10,2.0,"[1, 2]",0,0.21,0.064,0.219,0.035
10,2.0,"[0, 2]",0,1.0,1.0,0.405,0.0
10,2.0,"[0, 1]",0,0.264,0.135,0.516,0.096
11,3.1,"[1, 2]",0,0.179,0.073,0.311,0.14
11,3.1,"[0, 2]",0,0.151,0.716,0.439,0.167
11,3.1,"[0, 1]",0,0.199,0.056,0.174,0.072
